Index,Date,Sentiment
360,2019-01-01 9:00,3.25
361,2019-01-02 9:00,2.857142857
362,2019-01-03 9:00,2
363,2019-01-04 9:00,2.76863313
364,2019-01-05 9:00,3
365,2019-01-06 9:00,2.4
366,2019-01-07 9:00,2
367,2019-01-08 9:00,3.285714286
368,2019-01-09 9:00,2.277777778
369,2019-01-10 9:00,3.25
370,2019-01-11 9:00,1.5
371,2019-01-12 9:00,3
372,2019-01-13 9:00,2.142857143
373,2019-01-14 9:00,3
374,2019-01-15 9:00,3.25
375,2019-01-16 9:00,3
376,2019-01-17 9:00,1.25
377,2019-01-18 9:00,2.76863313
378,2019-01-19 9:00,2.8
379,2019-01-21 9:00,2.666666667
380,2019-01-22 9:00,2.714285714
381,2019-01-23 9:00,2.5
382,2019-01-24 9:00,1.6
383,2019-01-25 9:00,1.5
384,2019-01-26 9:00,2.5
385,2019-01-27 9:00,2
386,2019-01-28 9:00,2.857142857
387,2019-01-29 9:00,2.666666667
388,2019-01-30 9:00,2.875
389,2019-01-31 9:00,2
390,2019-02-01 9:00,2.5
391,2019-02-03 9:00,2.8
392,2019-02-04 9:00,4
393,2019-02-05 9:00,3.333333333
394,2019-02-06 9:00,2
395,2019-02-07 9:00,3.25
396,2019-02-08 9:00,1
397,2019-02-09 9:00,2.76863313
398,2019-02-10 9:00,3.5
399,2019-02-11 9:00,2.5
400,2019-02-12 9:00,1
401,2019-02-13 9:00,1
402,2019-02-14 9:00,3.666666667
403,2019-02-15 9:00,5
404,2019-02-17 9:00,2.571428571
405,2019-02-18 9:00,1
406,2019-02-19 9:00,3.5
407,2019-02-20 9:00,4
408,2019-02-21 9:00,2.76863313
409,2019-02-22 9:00,2.5
410,2019-02-23 9:00,1.5
411,2019-02-24 9:00,3.25
412,2019-02-25 9:00,1.2
413,2019-02-26 9:00,1
414,2019-02-27 9:00,2.76863313
415,2019-02-28 9:00,2.76863313
416,2019-03-01 9:00,2.76863313
417,2019-03-03 9:00,3
418,2019-03-04 9:00,3.666666667
419,2019-03-05 9:00,2
420,2019-03-06 9:00,2.666666667
421,2019-03-07 9:00,3
422,2019-03-08 9:00,2.857142857
423,2019-03-11 9:00,1.4
